institution,label,city,institution_state,inst_level,statefips
01300515,Olympian Academy of Cosmetology - Hair Benders Academy,Longwood,FL,I,12
01300516,Olympian Academy of Cosmetology - I.T.S. Academy of Beauty,Irving,TX,I,48
01300517,Olympian University of Cosmetology - I.T.S. Academy of Beauty,Lewisville,TX,I,48
01300518,Olympian Academy of Cosmetology - Olympus Beauty Academy,Phoenix,AZ,I,04
01300519,Olympian Academy of Cosmetology - International Academy of Hair Design,Tempe,AZ,I,04
01300520,Olympian Academy of Cosmetology - International Academy of Hair Design,"Phoenix,",AZ,I,04
01300600,La' James International College,Cedar Falls,IA,I,19
01300700,Nazarene Bible College,Colorado Springs,CO,I,08
01300701,Nazarene Bible College - Instituto Teologico Nazareno,Pasadena,CA,I,06
01300702,Emmanuel Bible College,Pasadena,CA,I,06
01300703,Nazarene  Bible College - Nazarene Indian Bible College,Albuquerque,NM,I,35
01300800,Summit Salon Academy - Portland,Tigard,OR,I,41
01300900,Stenotype Institute of South Dakota,Sioux Falls,SD,I,46
01301000,Lancaster Beauty School,Lancaster,CA,I,06
01301001,Lancaster Beauty School -,Lancaster,CA,I,06
01301100,Certified Welding School,Englewood,CO,I,08
01301200,Innovation/Develop Ctr of Hair Design,River Ridge,LA,I,22
01301300,Manhattan Career Institute,New York,NY,I,36
01301400,Shawnee Beauty College,Shawnee,OK,I,40
01301500,Empire Beauty School,Philadelphia,PA,I,42
01301501,Empire Beauty School - East Memphis,Memphis,TN,I,47
01301600,Ogle School Hair Skin Nails,Arlington,TX,I,48
01301601,Ogle School Hair Skin Nails,San Antonio,TX,I,48
01301602,Ogle School Hair Skin Nails,Denton,TX,I,48
01301700,ST Vincent Hospital School Of Medical Technology,Green Bay,WI,I,55
01301900,Land Claims College,Fairbanks,AK,I,02
01302100,"Universidad Del Noreste, A.C.",Tampico,,I,
01302200,City University of Seattle,Seattle,WA,I,53
01302201,City University - Kitsap,Silverdale,WA,I,53
01302202,City University of Seattle - Everett,Everett,WA,I,53
01302203,City University - Northgate Site,Seattle,WA,I,53
01302204,City University of Seattle - Mount Vernon Campus-Skagit Valley College,Mount Vernon,WA,I,53
01302205,City University - Bellingham Site,Bellingham,WA,I,53
01302206,City University - Seattle Campus/Federal Building,Seattle,WA,I,53
01302207,City University - Blessed Sacrement School,Seattle,WA,I,53
01302208,City University - Blessed Sacrement School,Seattle,WA,I,53
01302209,City University - Federal Building,Seattle,WA,I,53
01302210,"City University - Port Angeles Campus, Peninsula College",Port Angeles,WA,I,53
01302211,City University of Seattle - Tacoma,Tacoma,WA,I,53
01302212,City University - Spokane,Spokane,WA,I,53
01302213,City University of Seattle - Vancouver,Vancouver,WA,I,53
01302214,City University - Portland Campus Neighbors of Woodcraft Building,Portland,OR,I,41
01302215,City University - Greenwood Garden Business Center,Beaverton,OR,I,41
01302216,City University - Yakima,Yakima,WA,I,53
01302217,City University of Seattle - Renton,Renton,WA,I,53
01302218,"City University - San Jose, California",San Jose,CA,I,06
01302219,"City University of Seattle - Vancouver, British Columbia",Vancouver,,I,
01302220,"City University - Frankfurt, Germany",Frankfurt/Main,,I,
01302221,"City University - Dresden, Germany",Dresden,,I,
01302222,"City University of Seattle - Bratislava, Slovakia",Bratislava,,I,
01302223,"City University of Seattle - Trencin, Slovakia",Trencin,,I,
01302224,"City University - Zurich, Switzerland",Zurich,,I,
01302225,City University - East Valley Central Middle School,Yakima,WA,I,53
01302226,City University - Highlands Middle School,Kennewick,WA,I,53
01302227,City University - Foothills Middle School,Wenatchee,WA,I,53
01302228,City University - Charles Francis Adams High,Clarkston,WA,I,53
01302229,City University - Ricketts Administrative Building,Bothell,WA,I,53
01302230,City University - Opstad Elementary School,North Bend,WA,I,53
01302231,City University - Eckstein Middle School,Seattle,WA,I,53
01302232,City University - Chinook Middle School,Sea-Tac,WA,I,53
01302233,City University - Enumclaw High School,Enumclaw,WA,I,53
01302234,City University - Henry Jackson High School,Mill Creek,WA,I,53
01302235,City University - Sunset Elementary School,Shoreline,WA,I,53
01302236,City University - Marysville School District Office,Marysville,WA,I,53
01302237,City University - Kent Meridian High School,Kent,WA,I,53
01302238,City University - Roosevelt Elementary School,Bellingham,WA,I,53
01302239,City University - Lake Washington High School,Kirkland,WA,I,53
01302240,City University - Shuskan Middle School,Bellingham,WA,I,53
01302241,City University - Snoqualmie Middle School,Snoqualmie,WA,I,53
01302242,City University - Cedar Heights Junior High,Kent,WA,I,53
01302243,City University - Tri Cities,Richland,WA,I,53
01302244,City University - Rainier View Elementary School,Federal Way,WA,I,53
01302245,City University - Blaine High School,Blaine,WA,I,53
01302246,City University - McClure Middle School,Seattle,WA,I,53
01302247,City University - Meadow Ridge Elementary,Kent,WA,I,53
01302248,City University - Sehome High School,Bellingham,WA,I,53
01302249,City University - Lake Washington SD Administrative Building,Kirkland,WA,I,53
01302250,City University - Sequoia Junior High,Kent,WA,I,53
01302251,City University - Snohomish Freshman Campus,Snohomish,WA,I,53
01302252,City University - Cascade Middle School,Auburn,WA,I,53
01302253,"City University - Bethel SD, Spanaway Lake High School",Spanaway,WA,I,53
01302254,City University - South Kitsap SD,Port Orchard,WA,I,53
01302255,City University - Olympia SD Reeves Middle School,Olympia,WA,I,53
01302256,City University - Holiday Inn - Oakland Airport,Oakland,CA,I,06
01302257,City University - Berkeley Marina Marriott Hotel,Berkeley,CA,I,06
01302258,City University - North Monterey High School,Castroville,CA,I,06
01302259,City University - Monterey County Library,Prunedale,CA,I,06
01302260,"City University - Chehalis SD, WF West High School",Chehalis,WA,I,53
01302261,"City University - Puyallup SD, Aylen Junior High",Puyallup,WA,I,53
01302262,City University - Franklin Pierce SD,Tacoma,WA,I,53
01302263,City University - Puyallup SD,Puyallup,WA,I,53
01302264,City University - Evergreen SD,Vancouver,WA,I,53
01302265,City University - Evergreen SD,Vancouver,WA,I,53
01302266,City University - Puyallup SD,Puyallup,WA,I,53
01302267,City University - Radison Hotel/Union City,Union City,CA,I,06
01302268,City University-Mark Morris H.S.,Longview,WA,I,53
01302269,City University-Sunnyside H.S.,Sunnyside,WA,I,53
01302270,City University - John Newberry Elementary,Wenatchee,WA,I,53
01302271,City University - Elma H.S.,Elma,WA,I,53
01302272,City University - Los Angeles,Los Angeles,CA,I,06
01302273,City University - Port Townsend,Port Townsend,WA,I,53
01302274,City University -Washington State University Extension,Port Hadlock,WA,I,53
01302275,City University of Seattle - Centralia College,Centralia,WA,I,53
01302276,City University of Seattle - Port Angeles,Port Angeles,WA,I,53
01302277,City University - Silverdale,Silverdale,WA,I,53
01302278,City University - Maui High School,Kahului,HI,I,15
01302279,City University - Waiakea High School,Hilo,HI,I,15
01302280,City University - Liliokalani Building,Honolulu,HI,I,15
01302281,City University - Hawaii Community College,Hilo,HI,I,15
01302282,City University - Maui Community College,Kahului,HI,I,15
01302283,City University - Kaunakakai Elementary,Kaunakakai,HI,I,15
01302284,City University - Cascade High School,Everett,WA,I,53
01302285,City University - Bellingham Technical College,Bellingham,WA,I,53
01302286,City University - University Center at Everett Station,Everett,WA,I,53
01302287,City University - West Auburn High School,Auburn,WA,I,53
01302288,City University - Highline School District 401,Burien,WA,I,53
01302289,City University - State Farm Insurance Companies,DuPont,WA,I,53
01302290,City University - Tumwater High School,Tumwater,WA,I,53
01302291,City University - Ilwaco High School,Ilwaco,WA,I,53
01302292,City University - Clallam Bay High School,Clallam Bay,WA,I,53
01302293,City University - White River High School,Buckley,WA,I,53
01302294,City University - Mabton High School,Mabton,WA,I,53
01302295,City University - Wapato High School,Wapato,WA,I,53
01302296,City University - Moses Lake High School,Moses Lake,WA,I,53
01302297,City University - Northern Heights Elementary,Bellingham,WA,I,53
01302298,City University - Seattle Central Community College,Seattle,WA,I,53
01302299,City University of Seattle - Olympic College,Bremerton,WA,I,53
01302400,Riley College,Dothan,AL,I,01
01302401,Branch Campus,Eufaula,AL,I,01
01302402,Branch Campus,Troy,AL,I,01
01302403,Branch Campus,Tuskegee,AL,I,01
01302404,Branch Campus,Montgomery,AL,I,01
01302405,Branch Campus,Columbus,MS,I,28
01302406,Branch Campus,Selma,AL,I,01
01302407,Branch Campus,Valdosta,GA,I,13
01302408,Branch Campus,Americus,GA,I,13
01302409,Branch Campus,Albany,GA,I,13
01302410,Branch Campus,Brunswick,GA,I,13
01302411,Branch Campus,Waycross,GA,I,13
01302412,Branch Campus,Savannah,GA,I,13
01302413,Branch Campus,Cordele,GA,I,13
01302414,Branch College,Greenville,MS,I,28
01302415,Branch Campus,Pascagoula,MS,I,28
01302500,Alberto's Institute of Cosmetology,Rockford,IL,I,17
01302600,Machzikei Hadath Rabbinical College,Brooklyn,NY,I,36
01302601,Machzikei Hadath Rabbinical College  - educational center,Brooklyn,NY,I,36
01302700,Yeshivath Viznitz,Monsey,NY,I,36
01302701,Yeshivath Viznitz - Kiamesha Lake,Kiamesha Lake,NY,I,36
01302702,Yeshivath Viznitz - educational center,Monsey,NY,I,36
01302900,Boricua College,New York,NY,I,36
01302901,Boricua College - Brooklyn Location,Brooklyn,NY,I,36
01302902,Boricua College -,Bronx,NY,I,36
01302903,Boricua College -,Brooklyn,NY,I,36
01303000,Inst Intrntl di Sci del Educ,Italy,,I,
01303200,Conservatoire de Musique De Gene Geneve,Geneva,,I,
01303300,American College in London,London  W1M 3DE,,I,
01303700,China Medical College,Taiwan,,I,
01303800,McKeesport Hospital School of Nurse Anesthesia,McKeesport,PA,I,42
01303900,South University,Savannah,GA,I,13
01303901,South College - Downtown Campus,Savannah,GA,I,13
01303902,South College - Whitaker,Savannah,GA,I,13
01303903,South College - Bull,Savannah,GA,I,13
01303904,South University - West Palm Beach Campus,Royal Palm Beach,FL,I,12
01303905,South College - Downtown,Savannah,GA,I,13
01303906,South University - Montgomery,Montgomery,AL,I,01
01303907,South University - Columbia,Columbia,SC,I,45
01303908,South University - Tampa,Tampa,FL,I,12
01303909,South University - Art Institute of Atlanta,Atlanta,GA,I,13
01303910,South University - Richmond,Glenn Allen,VA,I,51
01303911,South University - Virginia Beach,Virginia Beach,VA,I,51
01303912,South University - The Art Institute of Dallas,Dallas,TX,I,48
01303913,South University - The Art Institute of Fort Worth,Fort Worth,TX,I,48
01303914,South University - Novi,Novi,MI,I,26
01303915,South University - Austin,Round Rock,TX,I,48
01303916,South University - ATS Phoenix,Chandler,AZ,I,04
01303917,South University - ATS Tucson,Tucson,AZ,I,04
01303918,South University - The Art Institute of Charlotte,Charlotte,NC,I,37
01303919,South University - The Art Institute of Raleigh-Durham,Durham,NC,I,37
01303920,South University - Ai Dallas - Houston Location,Houston,TX,I,48
01303921,South University - Ai Dallas - Austin Location,Austin,TX,I,48
01303922,South University - Cleveland,Warrensville Heights,OH,I,39
01303923,South University - High Point,High Point,NC,I,37
01303924,South University -  ATS BMC San Antonio,San Antonio,TX,I,48
01303925,South University - ATS BMC Dallas,Bedford,TX,I,48
01303926,South University - Orlando ATS,Orlando,FL,I,12
01304000,Northwood Univ,Cedar Hill,TX,I,48
01304001,Michigan Campus,Cedar Hill,TX,I,48
01304100,Fashion Inst of Design & Merchandising,San Francisco,CA,I,06
01304200,Ecole Nationale Veterinaire,France,,I,
01304400,San Bruno Beauty Academy,San Bruno,CA,I,06
01304600,Ganaye Academy of Cosmetology,San Jose,CA,I,06
01304800,Career College of Cosmetology,Yuba City,CA,I,06
01304801,Branch Campus,Seaside,CA,I,06
01304802,Branch Campus,Woodland,CA,I,06
01305000,Lewis Weinberger and Hill Beauty School,Warren,OH,I,39
01305300,"North Central Florida, School of Medical Technology",Perry,FL,I,12
01305700,Fogg's Technical Institute,Hanover,VA,I,51
01305900,Dallas Court Reporting College,Dallas,TX,I,48
01306200,Ohio College of Business and Technology,Cincinnati,OH,I,39
01306400,Career College of Cosmetology,Marysville,CA,I,06
01306500,Blair College,Mesa,AZ,I,04
01306600,Aladdin Beauty College #5,Arlington,TX,I,48
01306601,Aladdin Beauty College #5,Dallas,TX,I,48
01306602,Aladdin Beauty College #24,Dallas,TX,I,48
01306700,Richard's Beauty College,Rancho Cucamonga,CA,I,06
01307100,Alton Ochsner Fndtn on Diet Intern,New Orleans,LA,I,22
01307200,Nevada Gaming School,Las Vegas,NV,I,32
01307300,Banning Beauty College,Banning,CA,I,06
01307400,American Beauty College,West Covina,CA,I,06
01307401,American Beauty College -,Palmdale,CA,I,06
01307500,Carmichael Beauty College,Carmichael,CA,I,06
01307600,Continental Beauty College,Pico Rivera,CA,I,06
01307700,Page Antelope Valley Beauty School,Lancaster,CA,I,06
01307800,Monterey Academy of Hair Design,San Jose,CA,I,06
01307900,Woodman Plaza Beauty College,Arleta,CA,I,06
01308000,Willow Glen Beauty College,San Jose,CA,I,06
01308100,Westgate Beauty College,San Jose,CA,I,06
01308200,Luther Burbank Secretarial College,Santa Rosa,CA,I,06
01308300,Universal Beauty Academy,Concord,CA,I,06
01308301,Universal Beauty Acdmy,Pinole,CA,I,06
01308400,Bailie School of Broadcast,Denver,CO,I,08
01308600,Bloomington Academy of Beauty Culture,Bloomington,IL,I,17
01308700,Capri Beauty College,Chicago,IL,I,17
01308701,Capri - Garfield Ridge School of Hanover College of Beauty Culture Inc,Hanover Park,IL,I,17
01308702,Capri - Garfield Ridge School of Beauty Culture,Hanover Park,IL,I,17
01308800,Capri Oak Forest Beauty College,Oak Forest,IL,I,17
01308801,Capri Beauty College - New Lenox I,New Lenox,IL,I,17
01308900,Leland Powers School,Boston,MA,I,25
01309000,Quincy Beauty Academy,Quincy,MA,I,25
01309100,Wilfred Academy of Hair and Beauty Culture,Houston,TX,I,48
01309200,Vogue Beauty College #4,Austin,TX,I,48
01309300,Aladdin Beauty College #14,Big Spring,TX,I,48
01309301,Branch Campus #28,San Angelo,TX,I,48
01309400,Bellingham Beauty School,Bellingham,WA,I,53
01309500,Salon Success Academy,Corona,CA,I,06
01309501,Salon Success Academy - Fontana,Fontana,CA,I,06
01309502,Salon Success Academy - Redlands,Redlands,CA,I,06
01309600,Livermore Beauty School,Livermore,CA,I,06
01309700,Salvatores College of Hairstyling,Sacramento,CA,I,06
01309800,Debbie's School of Beauty Culture,Harvey,IL,I,17
01309900,London College of Music,London,,I,
01310300,California Western School of Law,San Diego,CA,I,06
01311500,Meadows College of Business,La Grange,GA,I,13
01311600,Meadows College of Business,Albany,GA,I,13
01313000,Sir Walter Beauty Academy,Henderson,NC,I,37
01313200,International College of Broadcasting,Dayton,OH,I,39
01313400,Yeshivath Beth Moshe,Scranton,PA,I,42
01313800,Mr Jays Academy of Cosmetology,Spokane,WA,I,53
01314300,Jon Louis School of Beauty,Bronx,NY,I,36
01314301,Jon Louis School of Beauty,Bronx,NY,I,36
01314700,Ecole Nationale Veterinaire De Lyon,Marcy L'Etoile,,I,
01314800,Ramirez College of Business & Technology,Rio Piedras,PR,I,72
01314801,Ramirez College of Business & Technology - Mayaguez Branch,Mayaguez,PR,I,72
01315100,Ecole Nationale Veterinarie D'Alfort,Maisons-Alfort,,I,
01315200,Facultes Univ Notre Dame de La Paix,Belgium,,I,
01315300,Massey University,Palmerston North,,I,
01315301,Massey University - Albany,Auckland,,I,
01315302,Massey University - Wellington,Wellington,,I,
01315400,Univ of South Africa,South Africa,,I,
01315500,O\E Learning Center,Troy,MI,I,26
01315501,O\E Learning Center,Detroit,MI,I,26
01315600,Pontiac Business Institute,Pontiac,MI,I,26
01315700,Pontiac Business Institute,Pontiac,MI,I,26
01315800,Pontiac Business Institute,Pontiac,MI,I,26
01316200,St Augustine's Smry of Toronto,Ontario,,I,
01316300,"Saint Luke's Hospital, School Of Practical Nursing",Milwaukee,WI,I,55
01316400,St Petersburg School Program of Respiratory Certification,St Petersburg,FL,I,12
01316500,Climate Control Institute,Wichita,KS,I,20
01316501,Climate Control Institute - Travel,Downers Grove,IL,I,17
01316502,Climate Control Institute - Travel Careers Division,Memphis,TN,I,47
01317800,LaMont's International School of Cosmetology,Canton,IL,I,17
01317900,Continentale Beauty School,Elmwood Park,IL,I,17
01318000,Mid-America School of Beauty Culture,Chicago,IL,I,17
01318001,Branch Campus Location,Chicago,IL,I,17
01318100,Sunny Hill Beauty School,Chicago,IL,I,17
01318200,Riviera School of Beauty Culture,Chicago,IL,I,17
01318300,State Beauty College,Campbellsville,KY,I,21
01318400,Bluegrass Beauty Academy,Winchester,KY,I,21
01318600,Mansfield Beauty Academy of Maine,Portland,ME,I,23
01318800,Lenoir City School of Beauty,Lenoir City,TN,I,47
01318900,Continental Academie of Hair Design,Hudson,NH,I,33
01319700,Dental Technology Institute,Orange,CA,I,06
01319800,Houma Hair Styling Academy,New Orleans,LA,I,22
01319900,Sharon Dorans Academy of Science & Hairdesign,Aurora,CO,I,08
01320000,Dayton Academy of Hair Design,Dayton,OH,I,39
01320300,Univ of Essen,West Germany,,I,
01320800,Baptist Bible College,Springfield,MO,I,29
01320801,Baptist Bible College,Boston,MA,I,25
01321400,Roxborough Memorial Hospital,Philadelphia,PA,I,42
01321800,M.J. Murphy Beauty College,Mount Pleasant,MI,I,26
01321801,M.J. Murphy Beauty College - Clare,Clare,MI,I,26
01321900,M J Murphy Beauty College of Alma,Alma,MI,I,26
01322000,Milpitas Beauty College,Milpitas,CA,I,06
01322300,Universite De Lille  III,France,,I,
01322400,Emerson College,"Forest Row, East Sussex",,I,
01322500,College of Law,"Guildford, Surrey",,I,
01322501,College of Law - London,London,,I,
01322502,College of Law - Christleton Hall,Chester,,I,
01322503,College of Law - Bishopthorpe,York,,I,
01322504,College of Law - Birmingham,Birmingham,,I,
01322505,College of Law -  Moorgate,London,,I,
01322506,College of Law - Manchester,Manchester,,I,
01322507,College of Law - Bristol,Bristol,,I,
01322700,Inter Univ Prgm of Chinese Lang Stdy,Taiwan,,I,
01323100,University of Houston - Victoria,Victoria,TX,I,48
01323101,University of Houston - Victoria - UH System at Sugar Land,Sugar Land,TX,I,48
01323102,University of Houston - Victoria UH System Center at Cinco Ranch,Katy,TX,I,48
01323103,"University of Houston - Victoria - Northside Center, Inc.",El Campo,TX,I,48
01323104,University of Houston - Victoria - Management School of Shandong Univ.,Jinan City,,I,
01323105,Unversity of Houston - Victoria - Lone Star College System,The Woodlands,TX,I,48
01323106,University of Houston - Victoria - Wharton Independent School District,Wharton,TX,I,48
01323107,University of Houston - Victoria - Katy,Katy,TX,I,48
01323108,University of Houston - Victoria - Rosenberg,Rosenberg,TX,I,48
01323200,Academy of Hair Design,Las Vegas,NV,I,32
01323300,Simi Valley Adult School & Career Institute,Simi Valley,CA,I,06
01323301,Simi Valley Adult School & Career Institute -  School of Cosmetology,Simi Valley,CA,I,06
01323302,Simi Valley Adult School & Career Institute - Dental Technology,Simi Valley,CA,I,06
01323303,Simi Valley Adult School & Career Institute - Dental Assisting,Simi Valley,CA,I,06
01323304,Simi Valley Adult School & Career Institute -Belwood Elementary School,Simi Valley,CA,I,06
01323400,Lorenzo Walker Technical College,Naples,FL,I,12
01323401,Lorenzo Walker Institute of Technology - Bethune,Immokalee,FL,I,12
01323500,Peace Officer Training Service College,Oakland,CA,I,06
01323600,Universiteit Van Pretoria,Pretoria,,I,
01323800,Deaconess Hospital School Of Nursing,Milwaukee,WI,I,55
01324000,Lytle's Redwood Empire Beauty College,Santa Rosa,CA,I,06
01324100,School of the Hartford Ballet,Hartford,CT,I,09
01324600,Toledo Medical Education Center,Toledo,OH,I,39
01324700,Ukiah Beauty College,Ukiah,CA,I,06
01326300,South Hills School of Business & Technology,State College,PA,I,42
01326301,South Hills School of Business & Technology,Philipsburg,PA,I,42
01326303,South Hills School of Business & Technology - Lewistown Campus,Lewistown,PA,I,42
01326304,South Hills School of Business & Technology - Altoona Campus,Altoona,PA,I,42
01326400,Henry Abbott Technical High School,Danbury,CT,I,09
01355600,St Johns Hospital School of Respiratory Therapy,Springfield,IL,I,17
01373500,University of Pennsylvania Hospital,Philadelphia,PA,I,42
01407700,Ellis Fiscel State Cancer Hospital,Columbia,MO,I,29
01415100,St John's Reg Health Center - School of Medical Technology,Springfield,MO,I,29
01434300,Big Sky Bible College,Lewistown,MT,I,30
01438500,Midway Paris Beauty School,Bronx,NY,I,36
01459100,Montefiore Medical Center School of Radiology Therapy Technology,Bronx,NY,I,36
01460400,Ultissima Beauty Institute at Hialeah,Hialeah,FL,I,12
01460401,Branch Campus,St Louis,MO,I,29
01460402,Branch Campus,Houston,TX,I,48
01460403,Branch Campus,Davie,FL,I,12
01460404,Branch Campus,Ft Lauderdale,FL,I,12
01465900,Oglala Lakota College-,Kyle,SD,I,46
01465901,Oglala Lakota College - White Clay College Center,Oglala,SD,I,46
01465902,Oglala Lakota College - He Sapa Center,Rapid City,SD,I,46
01465903,Oglala Lakota College - Cheyenne River Community College,Huron,SD,I,46
01465904,Oglala Lakota College - Wounded Knee College Center,Manderson,SD,I,46
01465905,Oglala Lakota College - Eagle Nest College Center,Wanblee,SD,I,46
01465906,Oglala Lakota College - East Wakpamni College Center,Batesland,SD,I,46
01465907,Oglala Lakota College - Lacreek College Center,Martin,SD,I,46
01465908,Oglala Lakota College - Pass Creek College Center,Allen,SD,I,46
01465909,Oglala Lakota College - Pass Creek College Center,Allen,SD,I,46
01465910,Oglala Lakota College - Pejuta Haka College Center,Kyle,SD,I,46
01465911,Oglala Lakota College - Pine Ridge College Center,Pine Ridge,SD,I,46
01465912,Oglala Lakota College - Pahin Sinte College Center,Manderson,SD,I,46
01465913,Oglala Lakota College -Sisseton Whapeton College-,Sisseton,SD,I,46
01465914,Oglala Lakota College - Cheyenne River College Center,Eagle Butte,SD,I,46
01465915,Oglala Lakota College - Sinte Gleska University,Rosebud,SD,I,46
01465916,Oglala Lakota College - Sitting Bull College,Ft. Yates,ND,I,38
01497300,Fort Lauderdale College,Miami,FL,I,12
01497400,Fort Lauderdale College,West Palm Beach,FL,I,12
01504700,Louisiana Technical College - Ascension Campus,Sorrento,LA,I,22
01514800,Fort Lauderdale College,Hialeah,FL,I,12
01516200,Univ of Phoenix,San Jose,CA,I,06
01536100,Guam Community College,Mangilao,GU,I,66
01926200,Delaware Law School of Weidner College,Wilmington,DE,I,10
02050000,Drama Studio London (The),London,,I,
02050100,Athens School of Classical Studies,Greece,,I,
02050300,Academy College,Bloomington,MN,I,27
02050800,American Business College,Fresno,CA,I,06
02050900,Goleta Beauty College,Goleta,CA,I,06
02051000,Lompoc Beauty College,Lompoc,CA,I,06
02051100,Santa Maria Beauty College,Santa Maria,CA,I,06
02051101,Santa Maria Beauty College - Ventura Beauty College,Ventura,CA,I,06
02051102,Santa Maria Beauty College,Santa Barbara,CA,I,06
02051103,Santa Maria Beauty College - San Luis Obispo Beauty College,San Luis Obispo,CA,I,06
02051200,San Luis Obispo Beauty College,San Luis Obispo,CA,I,06
02051600,Hi Fashion Beauty College,Jacksonville,IL,I,17
02051700,Career One Technical Training Corp,Phoenix,AZ,I,04
02051800,Oakwood Hospital School of Medical TechnologyGY,Dearborn,MI,I,26
02051900,Metropolitan Business College,Seattle,WA,I,53
02052000,Brightwood College,Dayton,OH,I,39
02052001,Kaplan College -  Kettering,Dayton,OH,I,39
02052002,Kaplan College - Florida Education Center - Lauderhill,Fort Lauderdale,FL,I,12
02052200,Black River Technical College,Pocahontas,AR,I,05
02052201,Black River Technical College - Fire Training Center,Walnut Ridge,AR,I,05
02052202,Black River Technical College - Aviation Department,Pocahontas,AR,I,05
02052203,Black River Technical College - Greene County Industrial Training Ctr,Paragould,AR,I,05
02052204,Black River Technical College - Fire Science Training Academy,Walnut Ridge,AR,I,05
02052205,Black River Technical College - Arkansas Methodist Medical Cener,Paragould,AR,I,05
02052206,Black River Technical College - Instructinal Facility for Technical Ed,Pocahontas,AR,I,05
02052300,University of West Los Angeles,Inglewood,CA,I,06
02052301,University of West Los Angeles - San Fernando Valley Campus,Woodland Hills,CA,I,06
02052302,University of West Los Angeles - Chatsworth,Chatsworth,CA,I,06
02052400,University of Cambridge - Darwin College,Cambridge,,I,
02052700,Northeast Technology Center,Pryor,OK,I,40
02052701,Northeast Technology Center -,Pryor,OK,I,40
02052702,Northeast Technology Center -,Afton,OK,I,40
02052703,Northeast Technology Center -,Kansas,OK,I,40
02052704,Northeast Technology Center -,Claremore,OK,I,40
02052800,County Schools Home Study,Bridgeport,CT,I,09
02052801,Aadditional Classroom Facility,Bridgeport,CT,I,09
02052802,Additional Classroom Facility,Bridgeport,CT,I,09
02053000,Liberty University,Lynchburg,VA,I,51
02053001,Liberty University - Lakeside Drive,Lynchburg,VA,I,51
02053002,Liberty University - Thomas Road,Lynchburg,VA,I,51
02053003,Liberty University - Airport,Lynchburg,VA,I,51
02053100,Kodaly Musical Train Inst,Watertown,MA,I,25
02053200,Constructive Teaching Ctr (The),London,,I,
02053300,Centro De Estudios Universitarios Xochicalco,Ensenada,,I,
02053301,Centro De Estudios Universitarios Xochicalco-Tijuana,Tijuana,,I,
02053302,Centro De Estudios Universitarios Xochicalco - Mexicali,Mexicali,,I,
02053303,Centro De Estudios Universitarios Xochicalco -,Mexicali,,I,
02053600,American Technical Center,Salt Lake City,UT,I,49
02053700,Eastwick College,Ramsey,NJ,I,34
02054200,Dawson College,Westmount,,I,
02054300,Trumbull Business College,Warren,OH,I,39
02054400,Manley L Cummins School of Nursing,Dothan,AL,I,01
02054500,Super Shapes College of Cosmetology,Oakland,CA,I,06
02054600,California Beauty College,Martinez,CA,I,06
02054800,Inst of Cosmetology,Richmond,CA,I,06
02054900,Marinello School of Beauty,Lake Forest,CA,I,06
02054901,Elegante Beauty Colleges,San Juan,CA,I,06
02054902,Marinello School of Beauty - Bakersfield,Bakersfield,CA,I,06
02054903,Marinello School of Beauty - Visalia,Visalia,CA,I,06
02055000,Waycross College,Waycross,GA,I,13
02055001,Waycross College -  Wayne County High School,Jesup,GA,I,13
02055100,Hawaii Business College,Honolulu,HI,I,15
02055200,Harrington College of Design,Chicago,IL,I,17
02055300,Ebberrt Education Center -- Anderson Community School,Anderson,IN,I,18
02055400,Bossier Parish Community College,Bossier City,LA,I,22
02055401,Bossier Parish Community College - BPSTIL,Bossier City,LA,I,22
02055500,Delta School of Business and Technology,Lake Charles,LA,I,22
02055600,Larry's Academy of Hairstyling,Gonzales,LA,I,22
02055700,Solari School of Hair Design,Lynn,MA,I,25
02055800,Michigan College of Beauty,Detroit,MI,I,26
02055801,Branch Campus Location,Oak Park,MI,I,26
02055900,Draughon's Business College,Tupelo,MS,I,28
02056000,Pioneer Community College,Kansas City,MO,I,29
02056100,Four Rivers Career Center,Washington,MO,I,29
02056300,Kensington Business Institute,Buffalo,NY,I,36
02056400,Capri Cosmetology Learning Center,Nanuet,NY,I,36
02056401,Capri Cosmetology Learning Center -,Newburgh,NY,I,36
02056500,Mitchell's Academy,Raleigh,NC,I,37
02056501,Mitchell's Academy - Mitchell's Academy,Raleigh,NC,I,37
02056502,Mitchell's Academy - Mitchell's Academy,Wilson,NC,I,37
02056600,Mitchell's Hair Styling Academy,Wilson,NC,I,37
02056700,Sherrills University of Hairstyling & Cosmetology,Raleigh,NC,I,37
02056800,Daymar College,New Boston,OH,I,39
02056801,Southeastern Business College,Gallipolis,OH,I,39
02056802,Daymar College - Columbus,Columbus,OH,I,39
02056803,Daymar College - Chillicothe,Chillicothe,OH,I,39
02056804,Daymar College - Jackson,Jackson,OH,I,39
02056900,Nettleton College Technical Division,Sioux Falls,SD,I,46
02057000,Skagit Business College,Mount Vernon,WA,I,53
02057200,International School of Beauty Culture,Lyndhurst,OH,I,39
02057300,Erie Barber School,Erie,PA,I,42
02057400,Roane Jackson Technical Center,Leroy,WV,I,54
02057600,Beacon College,Washington,DC,I,11
02057700,Almaden Beauty College,San Jose,CA,I,06
02057800,Wayne's College of Beauty,Watsonville,CA,I,06
02057801,Wayne's College of Beauty - Seaside,Seaside,CA,I,06
